Local,Tipo,Tienda,Integrada,Subtipo,Id_Tienda
Almacén Jr Sullana,Devoluciones,Internet,SÍ,Devoluciones,98
Bike Havaianas San Miguel,Inactive,Inactive,-,DTC,-
Cat Arequipa,Concepto,Arequipa,-,DTC,16
Cat Arequipa 2,Concepto,Arequipa,-,DTC,131
CAT Cajamarca,Concepto,Cajamarca,-,DTC,10
Cat Cayma,Concepto,Cayma,-,DTC,75
Cat Chiclayo,Concepto,Chiclayo,-,DTC,56
Cat Chiclayo ,Concepto,Chiclayo,-,DTC,-
Cat Cuzco,Concepto,Cusco,-,DTC,54
Cat Cuzco ,Concepto,Cusco,-,DTC,-
CAT Huancayo,Concepto,Huancayo,-,DTC,12
Cat jockey3,Concepto,Jockey,SÍ,DTC,4
cat Mall del Sur,Concepto,Mall del sur,SÍ,DTC,84
Cat Mega Plaza,Concepto,Mega Plaza,SÍ,DTC,40
Cat Mega Plaza ,Concepto,Mega Plaza,SÍ,DTC,-
Cat Piura 2,Concepto,Piura,-,DTC,128
Cat Plaza Norte,Concepto,Plaza Norte,SÍ,DTC,44
Cat Puruchuco,Concepto,Puruchuco,SÍ,DTC,87
Cat Salaverry,Concepto,Salaverry,SÍ,DTC,63
Cat Salaverry ,Concepto,Salaverry,SÍ,DTC,-
Cat SanMiguel,Concepto,San Miguel,SÍ,DTC,67
Cat Trujillo,Concepto,Trujillo,-,DTC,36
CatSantaAnita,Concepto,Santa Anita,SÍ,DTC,90
Coliseum Asia,Coliseum,Asia,SÍ,Coliseum DTC,106
Coliseum Atocongo,Coliseum,Atocongo,-,Coliseum DTC,133
Coliseum City Centro Civico,Inactive,Civico,-,Outlet,-
Coliseum City Centro Civico ,Inactive,Civico,-,Outlet,-
Coliseum City Colorado,Inactive,Arequipa,-,Outlet,-
Coliseum City San Miguel ,Inactive,Inactive,-,Coliseum DTC,-
Coliseum City Trujillo,Inactive,Trujillo,-,Coliseum DTC,-
Coliseum Comas,Coliseum,Comas,SÍ,Coliseum DTC,97
Coliseum Jockey Plaza,Inactive,Inactive,-,Coliseum DTC,-
Coliseum Km40,Coliseum,Km40,SÍ,Coliseum DTC,114
Coliseum Outlet Aurora,Outlet,Aurora,-,Outlet,132
Coliseum Outlet Lambramani,Outlet,Lambramani,-,Outlet,99
Coliseum Santa Clara,Inactive,Santa Clara,-,Coliseum DTC,-
Coliseum SJL,Coliseum,Sjl,SÍ,Coliseum DTC,103
Coliseum Sport Angamos,Coliseum,Angamos,SÍ,Coliseum DTC,9
Coliseum Sport Arequipa,Inactive,Inactive,-,Coliseum DTC,-
Coliseum Sport Chiclayo,Coliseum,Chiclayo,-,Coliseum DTC,57
Coliseum Sport Colorado,Inactive,Inactive,-,Outlet,-
Coliseum Sport Cuzco,Coliseum,Cusco,-,Coliseum DTC,53
Coliseum Sport Cuzco ,Coliseum,Cusco,-,Coliseum DTC,-
Coliseum Sport Trujillo,Inactive,Trujillo,-,Coliseum DTC,-
Coliseum Yobel,Ecommerce,Internet,SÍ,WEB,178
Converse Arequipa,Concepto,Arequipa,-,DTC,20
Converse Cayma,Concepto,Cayma,-,DTC,76
Converse Chiclayo,Concepto,Chiclayo,-,DTC,58
Converse Chiclayo ,Concepto,Chiclayo,-,DTC,-
Converse Jockey,Inactive,Jockey,-,DTC,11
Converse Jockey 2,Concepto,Jockey,SÍ,DTC,122
Converse La Molina,Concepto,La Molina,SÍ,DTC,112
Converse Larcomar,Concepto,Larcomar,SÍ,DTC,32
Converse Larcomar ,Concepto,Larcomar,SÍ,DTC,-
Converse Mall del Sur,Concepto,Mall del sur,SÍ,DTC,86
Converse Mega Plaza,Concepto,Mega Plaza,SÍ,DTC,51
Converse Parque la Molina,Concepto,La Molina,SÍ,DTC,120
Converse Plaza Norte,Inactive,Plaza Norte,-,DTC,-
Converse Plaza Norte 2,Concepto,Plaza Norte,SÍ,DTC,105
Converse Salaverry,Concepto,Salaverry,SÍ,DTC,59
Converse Salaverry ,Concepto,Salaverry,SÍ,DTC,59
Converse San Miguel,Concepto,San Miguel,SÍ,DTC,110
Converse Trujillo,Concepto,Trujillo,-,DTC,37
ConversePuruchuco,Concepto,Puruchuco,SÍ,DTC,88
ConverseSantaAnita,Concepto,Santa Anita,SÍ,DTC,91
Devolucion Lineanuova,Inactive,Inactive,-,Devoluciones,-
DEVOLUCIONLINEANUOVA,Devoluciones,Inactive,-,Devoluciones,500
Dolce Vita Jockey,Concepto,Jockey,-,DTC,134
Havaianas Larcomar,Inactive,Inactive,-,DTC,-
Internet,Coliseum,Internet,-,Coliseum DTC,-
Internet 2,Inactive,Internet,-,Coliseum DTC,-
Internet 3,Inactive,Internet,-,Coliseum DTC,-
internet4,Inactive,Internet,-,Coliseum DTC,-
ITINERANTE 3,Concepto,Itinerante,-,Coliseum DTC,-
Market Place,MarketPlace,Marketplace,SÍ,MKTPLACE,135
MERMASE,Inactive,Inactive,-,Mermas,504
Merrell  Jockey,Concepto,Jockey,SÍ,DTC,5
Merrell Arequipa,Concepto,Arequipa,-,DTC,136
Merrell Cajamarca,Concepto,Cajamarca,-,DTC,101
Merrell Cusco,Concepto,Cusco,-,DTC,100
Merrell Mall del Sur,Concepto,Mall del sur,SÍ,DTC,123
Merrell Mega Plaza,Concepto,Mega Plaza,SÍ,DTC,8
Merrell Parque la Molina,Concepto,La Molina,SÍ,DTC,119
Merrell PLN,Concepto,Plaza Norte,Sí,DTC,109
Merrell Puruchuco,Concepto,Puruchuco,SÍ,DTC,124
Merrell Salaverry,Concepto,Salaverry,SÍ,DTC,62
Merrell Salaverry ,Concepto,Salaverry,SÍ,DTC,-
Merrell Trujillo,Concepto,Trujillo,-,DTC,7
Merrell Umbro Arequipa,Inactive,Inactive,-,DTC,-
New Balance Arequipa,Concepto,Arequipa,-,DTC,126
New Balance Cuzco,Concepto,Cusco,-,DTC,121
New Balance Jockey,Concepto,Jockey,SÍ,DTC,108
New Balance Parque la Molina,Concepto,La Molina,SÍ,DTC,116
New Balance Plaza Norte,Concepto,Plaza Norte,SÍ,DTC,107
New Balance San Miguel,Concepto,San Miguel,SÍ,DTC,127
New Balance Shadow,Concepto,Itinerante,-,DTC,118
New BalanceTrujillo,Concepto,Trujillo,-,DTC,111
Outlet Atocongo,Inactive,Atocongo,-,Outlet,-
Outlet Faucett,Outlet,Faucett,-,Outlet,22
Outlet Lurin,Outlet,Lurin,-,Outlet,74
Outlet Minka,Outlet,Minka,-,Outlet,95
Principal,Inactive,Inactive,-,Devoluciones,-
SEITINERANTE3,Inactive,Internet,-,Coliseum DTC,-
Steve Atocongo,Concepto,Atocongo,-,DTC,130
Steve Cayma,Inactive,Cayma,-,DTC,-
Steve Jockey 2,Concepto,Jockey,SÍ,DTC,125
Steve Madden Jockey,Inactive,Jockey,-,DTC,2
Steve Madden Larcomar,Concepto,Larcomar,-,DTC,-
Steve Madden Salaverry,Concepto,Salaverry,SÍ,DTC,61
Steve Madden Salaverry ,Concepto,Salaverry,SÍ,DTC,-
Steve Parque la Molina,Concepto,La Molina,SÍ,DTC,115
Umbro Jockey,Concepto,Jockey,SÍ,DTC,113
Umbro Mall del Sur,Concepto,Mall del sur,-,DTC,-
Umbro Mega Plaza,Inactive,Inactive,-,DTC,-
Umbro Piura 2,Inactive,Piura,-,DTC,129
Umbro SJL,Inactive,Sjl,-,DTC,104
UmbroPuruchuco,Inactive,Puruchuco,-,DTC,89
UmbroSantaAnita,Inactive,Santa Anita,-,DTC,-
